endpoint_key,outcome_label,source,domain,cv_type,folds,mean_mae,mean_rmse,mean_poisson_deviance,mean_cor_daily_spearman,mean_cor_comm_spearman,mean_cor_comm_pearson
death_cvd,CVD Mortality,Mortality,Cardiovascular,spatial,5,0.33193569844695203,0.4778000093637153,6402.747948862154,0.2431641895033094,0.957439303907157,0.9650633602067606
death_injury,Injury Mortality,Mortality,Injury,spatial,5,0.17667326390809793,0.32605720961081175,4087.17919204175,0.2130897208509491,0.9242759731097382,0.9603914607807108
death_mental,Mental Health Mortality,Mortality,Mental Health,spatial,5,0.0571901078289112,0.1738228894477519,1897.489385797613,0.07982874668624554,0.7195043752499894,0.7331314313949931
death_renal,Renal Mortality,Mortality,Renal,spatial,5,0.03393016924530047,0.21541967984806948,1279.107321636295,0.06305339225425469,0.7006100013493894,0.6815073429052141
death_respiratory,Respiratory Mortality,Mortality,Respiratory,spatial,5,0.08564095913750681,0.21468650080635815,2545.2244892808576,0.11284983830157883,0.8390125809321921,0.9197191669488475
deaths,All-Cause Mortality,Mortality,All-cause,spatial,5,0.677202002049828,0.8909017909432745,9743.494719309607,0.42048213300344095,0.9566806722689074,0.9734502589578604
ed_cvd,CVD ED Visits,ED,Cardiovascular,spatial,5,0.44956113554455,0.6809835415226446,8089.301820263814,0.34304940468284095,0.8342436974789915,0.8513314804815245
ed_dehydration,Dehydration ED Visits,ED,Heat-related,spatial,5,0.03340900087144494,0.13497601050844601,1243.6669935766984,0.07531257385226499,0.6356017527086413,0.6142818522816575
ed_injury,Injury ED Visits,ED,Injury,spatial,5,0.3890280888408364,0.6079192636082456,7177.348603987401,0.339609482628022,0.8839382410214142,0.8700139221925528
ed_renal,Renal ED Visits,ED,Renal,spatial,5,0.04548323662012185,0.1546354686674626,1537.2497963600492,0.091464597726650193,0.7023084950763703,0.7132301661728285
ed_respiratory,Respiratory ED Visits,ED,Respiratory,spatial,5,0.3155886694243608,0.521803437340478,6327.822852089541,0.29381689494479696,0.8446859727646866,0.8446377507548866
ed_syncope,Syncope ED Visits,ED,Syncope,spatial,5,0.02597690210410708,0.12058200256429713,987.0288094134136,0.09540570703587761,0.6466533519534006,0.8977608167286693
ed_visits,All-Cause ED Visits,ED,All-cause,spatial,10,2.7333218327089,4.27957583933807,24383.29249979394,0.6873065721914028,0.9015126050420167,0.8776982370019831
ems_bleeding,Bleeding EMS Calls,EMS,Bleeding,spatial,5,0.4413291732391371,0.6309835166429335,7749.427826998603,0.34193966988682106,0.9147846341489828,0.9367723897387769
ems_calls,All-Cause EMS Calls,EMS,All-cause,spatial,5,3.521610721086664,4.956910878809794,18567.15145852894,0.8282234584252042,0.9346638655462183,0.9572974966273373
ems_cvd,CVD EMS Calls,EMS,Cardiovascular,spatial,5,0.36720128576023636,0.5496974771829778,6837.911520642957,0.32747199180243663,0.8894575086114486,0.9431505416987782
ems_gi,GI EMS Calls,EMS,Gastrointestinal,spatial,5,0.7105989565014486,0.9613626373800597,10027.341734186246,0.4802441783289048,0.9079302074294927,0.954997612839719
ems_injury,Injury EMS Calls,EMS,Injury,spatial,5,1.0124443845181963,1.3812824694235213,12094.921812408154,0.5509699736939592,0.9328571428571427,0.954333985349266
ems_mental,Mental Health EMS Calls,EMS,Mental Health,spatial,5,0.5420582173595789,0.7601276756244925,8836.338602301834,0.3949959688584602,0.9391176470588234,0.959540887434982
ems_neuro,Neurologic EMS Calls,EMS,Neurologic,spatial,5,0.76479439163055285,1.0350782279215107,10586.18567115272,0.470674960052799,0.9322104016264068,0.9500861997224688
ems_respiratory,Respiratory EMS Calls,EMS,Respiratory,spatial,5,0.3346074998128271,0.5430528091581549,6331.075995226992,0.36315549546040565,0.888460845702873,0.9340589470835287
ems_syncope,Syncope EMS Calls,EMS,Syncope,spatial,5,0.1860522357887256,0.3532547248055595,4306.310554201527,0.22391969306854545,0.8477456817743974,0.9529396325507864
death_cvd,CVD Mortality,Mortality,Cardiovascular,temporal,4,0.3246523572035857,0.4773435215830018,8003.122618843248,0.24792488864282236,0.9304790570401924,0.9389899907905466
death_injury,Injury Mortality,Mortality,Injury,temporal,4,0.1676448293045641,0.33031735456275624,5234.44067822293,0.22038045592218317,0.9253428732763604,0.9377379592360418
death_mental,Mental Health Mortality,Mortality,Mental Health,temporal,4,0.05685935630434867,0.17118471266348284,2323.899931477431,0.08900959383451058,0.7283741975879588,0.7225678612696353
death_renal,Renal Mortality,Mortality,Renal,temporal,4,0.031977953963191884,0.13004171691170882,1569.3096151132795,0.0664956575239975,0.5886818582941273,0.6758397098749951
death_respiratory,Respiratory Mortality,Mortality,Respiratory,temporal,4,0.0878518321308918,0.2147278638468807,3180.350149124581,0.11592271730479192,0.7729802052810997,0.8332965976154516
deaths,All-Cause Mortality,Mortality,All-cause,temporal,4,0.6777120777534278,0.91020811282831,12665.154149354623,0.41422393918135264,0.9465688883156118,0.9538515088403339
ed_cvd,CVD ED Visits,ED,Cardiovascular,temporal,4,0.510058495042848,0.7558647107682646,10748.334030662565,0.3790816632372226,0.8687974224434034,0.9179400563642698
ed_dehydration,Dehydration ED Visits,ED,Heat-related,temporal,4,0.04758924415055902,0.1397469916026312,1701.319912926123,0.08930470396949605,0.5704928960325226,0.7480094922046743
ed_injury,Injury ED Visits,ED,Injury,temporal,4,0.5222090461941085,0.803595550403655,11319.7957472704,0.36633359457685316,0.8738074409691083,0.9311332483365528
ed_renal,Renal ED Visits,ED,Renal,temporal,4,0.04811164776716687,0.1533264176300299,1860.684819818503,0.11494765807756835,0.6549885519574903,0.8527273274913235
ed_respiratory,Respiratory ED Visits,ED,Respiratory,temporal,4,0.37183915428578157,0.5866303138462857,8623.485175494387,0.32919549097538847,0.8610763931879831,0.9172965106495188
ed_syncope,Syncope ED Visits,ED,Syncope,temporal,4,0.02868101387151636,0.122012712569028,1250.4216824379982,0.10342439089424361,0.5710585536383245,0.8655674803489787
ed_visits,All-Cause ED Visits,ED,All-cause,temporal,4,3.7723714239489805,5.703668800729497,41840.54251439361,0.7548878459449693,0.9110236829865638,0.9130455104143029
ems_bleeding,Bleeding EMS Calls,EMS,Bleeding,temporal,4,0.4625438931665717,0.6459926503158611,9929.460076399646,0.3592571910794386,0.9286065456841504,0.9443474425491863
ems_calls,All-Cause EMS Calls,EMS,All-cause,temporal,4,4.388325161018317,6.147517238793489,30799.2327078233,0.8616265807118353,0.9613359498557812,0.9571364418038504
ems_cvd,CVD EMS Calls,EMS,Cardiovascular,temporal,4,0.3655383720397901,0.5542845470471528,8992.012900161148,0.2937431515786593,0.9062813848877034,0.9447653886861558
ems_gi,GI EMS Calls,EMS,Gastrointestinal,temporal,4,0.7312063499470696,0.9797949597549486,12700.076581330071,0.5007907085668616,0.9474873931982107,0.954767985444325
ems_injury,Injury EMS Calls,EMS,Injury,temporal,4,1.053389527900859,1.4310390846035048,15583.260797229717,0.5713130312546046,0.9521569278306792,0.9521158650800011
ems_mental,Mental Health EMS Calls,EMS,Mental Health,temporal,4,0.5631971421824912,0.7815302133429705,11383.159566668915,0.39936298430102823,0.918537250471189,0.8964570755698471
ems_neuro,Neurologic EMS Calls,EMS,Neurologic,temporal,4,0.8077271092119074,1.081654513150436,13746.352428092745,0.49404721543735053,0.944343650616575,0.939334821196195
ems_respiratory,Respiratory EMS Calls,EMS,Respiratory,temporal,4,0.3418398969967994,0.5577820586097947,9535.368286765326,0.26544258097405116,0.8402806256792581,0.8694030515808704
ems_syncope,Syncope EMS Calls,EMS,Syncope,temporal,4,0.19231538748159724,0.3548725223247623,5596.549888061591,0.19173368263519114,0.788295037243429,0.8599535544669125
