"characteristic","ED","EMS","Mortality"
"Community areas, n","77","77","77"
"Study days, n","612","612","612"
"Community-days, n","47,124","47,124","47,124"
"Total events, n","235,687","523,062","35,411"
"Mean daily events per community-day","5.00","11.10","0.75"
"Median daily events per community-day","3.00","8.00","0.00"
"Median age","35.98","35.98","35.98"
"% Black","18.47","18.47","18.47"
"Median income","55001.75","55001.75","55001.75"
"Air conditioning prevalence","0.95","0.95","0.95"
"NDVI","0.29","0.29","0.29"
"PM2.5","8.47","8.47","8.47"
"NO2","13.25","13.25","13.25"
"SVI overall","0.73","0.73","0.73"
